scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,43855,15697,A2PYXFVGNJPPX0,2
1,2.mp4,34264,7794,A2PYXFVGNJPPX0,5
1,3.mp4,35600,5179,A2PYXFVGNJPPX0,5
1,4.mp4,17138,9224,A2PYXFVGNJPPX0,5
5,5.mp4,16931,6880,A2PYXFVGNJPPX0,2
5,1.mp4,63345,6330,A1NH9LK567B862,2
1,2.mp4,16344,7658,A1NH9LK567B862,5
2,3.mp4,17188,5556,A1NH9LK567B862,4
2,4.mp4,17643,10317,A1NH9LK567B862,4
5,5.mp4,17024,4664,A1NH9LK567B862,2
5,1.mp4,57748,6049,A320QA9HJFUOZO,2
1,2.mp4,18200,5783,A320QA9HJFUOZO,5
3,3.mp4,13926,6019,A320QA9HJFUOZO,4
4,4.mp4,14387,7378,A320QA9HJFUOZO,4
5,5.mp4,14909,3961,A320QA9HJFUOZO,2
5,1.mp4,35368,6274,A11SX02CICZN85,2
1,2.mp4,15676,4108,A11SX02CICZN85,5
2,3.mp4,15780,8244,A11SX02CICZN85,4
2,4.mp4,20092,6387,A11SX02CICZN85,4
5,5.mp4,15994,5535,A11SX02CICZN85,2
5,1.mp4,81880,5489,A1IU5OP7BBZHZ7,2
1,2.mp4,18946,8414,A1IU5OP7BBZHZ7,5
1,3.mp4,19382,19370,A1IU5OP7BBZHZ7,5
1,4.mp4,17268,7470,A1IU5OP7BBZHZ7,5
5,5.mp4,30260,7237,A1IU5OP7BBZHZ7,2
5,1.mp4,58600,5348,A1G96GPSRSLPC0,2
1,2.mp4,17002,5351,A1G96GPSRSLPC0,5
2,3.mp4,18954,5833,A1G96GPSRSLPC0,5
2,4.mp4,16934,7041,A1G96GPSRSLPC0,5
2,5.mp4,20049,6229,A1G96GPSRSLPC0,5
5,1.mp4,38729,5006,A1EX0MEOPF8AHT,2
1,2.mp4,18510,4802,A1EX0MEOPF8AHT,5
1,3.mp4,15492,6688,A1EX0MEOPF8AHT,5
1,4.mp4,17335,4999,A1EX0MEOPF8AHT,5
5,5.mp4,16091,5055,A1EX0MEOPF8AHT,2
5,1.mp4,40764,4717,A16X5FB3HAFCKN,2
1,2.mp4,15225,5368,A16X5FB3HAFCKN,5
5,3.mp4,23838,4486,A16X5FB3HAFCKN,2
5,4.mp4,15608,5256,A16X5FB3HAFCKN,2
5,5.mp4,15631,6723,A16X5FB3HAFCKN,2
5,1.mp4,79704,10447,A31Z5TPD8QKE26,2
1,2.mp4,16627,3102,A31Z5TPD8QKE26,5
1,3.mp4,14786,3841,A31Z5TPD8QKE26,4
1,4.mp4,83906,6469,A31Z5TPD8QKE26,4
5,5.mp4,25952,4208,A31Z5TPD8QKE26,2
5,1.mp4,36707,12384,A27W025UEXS1G0,2
1,2.mp4,13912,11056,A27W025UEXS1G0,5
1,3.mp4,28522,16451,A27W025UEXS1G0,4
1,4.mp4,14446,10457,A27W025UEXS1G0,4
5,5.mp4,26690,12626,A27W025UEXS1G0,2
5,1.mp4,53222,7578,A1L8RL58MYU4NC,2
1,2.mp4,18165,6132,A1L8RL58MYU4NC,5
2,3.mp4,18082,11749,A1L8RL58MYU4NC,4
2,4.mp4,20256,8518,A1L8RL58MYU4NC,4
5,5.mp4,29046,6400,A1L8RL58MYU4NC,2
5,1.mp4,38200,4469,A26399B1QZ7XJJ,2
1,2.mp4,15478,4746,A26399B1QZ7XJJ,5
1,3.mp4,15376,4556,A26399B1QZ7XJJ,5
1,4.mp4,15823,6399,A26399B1QZ7XJJ,5
5,5.mp4,16003,8685,A26399B1QZ7XJJ,2
5,1.mp4,181639,93964,A2MPA5OAT635HG,2
1,2.mp4,51840,43887,A2MPA5OAT635HG,5
2,3.mp4,38614,11331,A2MPA5OAT635HG,5
5,4.mp4,17952,5307,A2MPA5OAT635HG,2
5,5.mp4,17324,5724,A2MPA5OAT635HG,2
5,1.mp4,34433,5434,A28A3HF3LSEIDT,2
1,2.mp4,17110,5700,A28A3HF3LSEIDT,5
1,3.mp4,15923,6311,A28A3HF3LSEIDT,5
1,4.mp4,18609,8193,A28A3HF3LSEIDT,5
5,5.mp4,16507,4656,A28A3HF3LSEIDT,2
5,1.mp4,65721,10775,A3QI1RV4HQ9MOC,2
1,2.mp4,15075,4355,A3QI1RV4HQ9MOC,5
5,3.mp4,16803,6091,A3QI1RV4HQ9MOC,2
1,4.mp4,14891,5185,A3QI1RV4HQ9MOC,2
5,5.mp4,14782,4672,A3QI1RV4HQ9MOC,2
