scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,66197,14596,A207IHY6GERCFO,2
1,2.mp4,16248,7464,A207IHY6GERCFO,5
2,3.mp4,15856,8544,A207IHY6GERCFO,4
2,4.mp4,15376,4444,A207IHY6GERCFO,4
4,5.mp4,17975,16332,A207IHY6GERCFO,3
5,1.mp4,71451,20805,A2ETSATXP9MTZ6,2
1,2.mp4,29269,17397,A2ETSATXP9MTZ6,5
2,3.mp4,21218,6551,A2ETSATXP9MTZ6,5
2,4.mp4,22704,14376,A2ETSATXP9MTZ6,5
5,5.mp4,17821,7307,A2ETSATXP9MTZ6,2
5,1.mp4,135516,37432,ASWZO1WY1UHEP,2
1,2.mp4,20649,7862,ASWZO1WY1UHEP,5
2,3.mp4,19318,11782,ASWZO1WY1UHEP,4
2,4.mp4,29055,8863,ASWZO1WY1UHEP,4
5,5.mp4,34999,10117,ASWZO1WY1UHEP,2
5,1.mp4,45696,13089,A3UV55HC87DO9C,2
1,2.mp4,17948,10956,A3UV55HC87DO9C,5
3,3.mp4,15805,6234,A3UV55HC87DO9C,4
3,4.mp4,16453,7894,A3UV55HC87DO9C,4
4,5.mp4,17121,12229,A3UV55HC87DO9C,2
5,1.mp4,66628,23602,A1DD23J1WBGQUU,2
1,2.mp4,16176,8196,A1DD23J1WBGQUU,5
2,3.mp4,15306,9828,A1DD23J1WBGQUU,4
1,4.mp4,15739,7117,A1DD23J1WBGQUU,4
4,5.mp4,15602,10648,A1DD23J1WBGQUU,2
5,1.mp4,79758,38680,A33VGSEJ44ORMF,2
1,2.mp4,18979,9382,A33VGSEJ44ORMF,5
3,3.mp4,18738,7836,A33VGSEJ44ORMF,4
4,4.mp4,18600,10965,A33VGSEJ44ORMF,4
5,5.mp4,18477,6188,A33VGSEJ44ORMF,2
5,1.mp4,38712,8058,A2R0YYUAWNT7UD,2
1,2.mp4,15220,7978,A2R0YYUAWNT7UD,5
2,3.mp4,15718,6956,A2R0YYUAWNT7UD,4
1,4.mp4,15323,6710,A2R0YYUAWNT7UD,4
5,5.mp4,15751,8688,A2R0YYUAWNT7UD,2
5,1.mp4,53084,9040,A36SM7QM8OK3H6,2
1,2.mp4,13670,4871,A36SM7QM8OK3H6,5
1,3.mp4,14205,6323,A36SM7QM8OK3H6,4
1,4.mp4,13852,2583,A36SM7QM8OK3H6,4
4,5.mp4,25263,4114,A36SM7QM8OK3H6,3
5,1.mp4,37567,4232,ACSS93E03ZUGX ,2
1,2.mp4,17433,4396,ACSS93E03ZUGX ,5
3,3.mp4,16981,4028,ACSS93E03ZUGX ,4
3,4.mp4,15392,8232,ACSS93E03ZUGX ,4
5,5.mp4,35124,7943,ACSS93E03ZUGX ,2
5,1.mp4,115507,14245,A2OZGNW6THEMJ,2
1,2.mp4,45579,30455,A2OZGNW6THEMJ,5
2,3.mp4,30540,28190,A2OZGNW6THEMJ,4
2,4.mp4,34462,14434,A2OZGNW6THEMJ,4
5,5.mp4,20618,6713,A2OZGNW6THEMJ,2
5,1.mp4,88238,16055,A3RR85PK3AV9TU,2
1,2.mp4,15251,10411,A3RR85PK3AV9TU,5
1,3.mp4,18945,12578,A3RR85PK3AV9TU,4
1,4.mp4,15077,6520,A3RR85PK3AV9TU,4
4,5.mp4,16819,6929,A3RR85PK3AV9TU,3
