scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,55689,9592,A1IZ4NX41GKU4X,2
1,2.mp4,17256,8342,A1IZ4NX41GKU4X,5
3,3.mp4,17234,11550,A1IZ4NX41GKU4X,5
3,4.mp4,21706,15955,A1IZ4NX41GKU4X,4
4,5.mp4,37099,17322,A1IZ4NX41GKU4X,2
5,1.mp4,36723,6414,A2R0YYUAWNT7UD,2
1,2.mp4,16053,8601,A2R0YYUAWNT7UD,5
1,3.mp4,14577,4594,A2R0YYUAWNT7UD,5
1,4.mp4,32973,13046,A2R0YYUAWNT7UD,5
5,5.mp4,14271,4687,A2R0YYUAWNT7UD,2
5,1.mp4,103445,19438,AVQGY7FCU80XP,2
1,2.mp4,21189,9278,AVQGY7FCU80XP,5
2,3.mp4,22743,21987,AVQGY7FCU80XP,4
2,4.mp4,19660,16770,AVQGY7FCU80XP,5
5,5.mp4,35510,7398,AVQGY7FCU80XP,2
5,1.mp4,41981,5787,A11SX02CICZN85,2
1,2.mp4,16698,5895,A11SX02CICZN85,5
3,3.mp4,17729,6901,A11SX02CICZN85,4
3,4.mp4,18794,6351,A11SX02CICZN85,4
5,5.mp4,18540,5825,A11SX02CICZN85,2
5,1.mp4,49054,5376,A320QA9HJFUOZO,2
1,2.mp4,14335,3984,A320QA9HJFUOZO,5
2,3.mp4,13542,4688,A320QA9HJFUOZO,4
2,4.mp4,25712,3435,A320QA9HJFUOZO,4
4,5.mp4,19146,5098,A320QA9HJFUOZO,3
5,1.mp4,53677,4977,A3UV55HC87DO9C,2
1,2.mp4,16035,4124,A3UV55HC87DO9C,5
2,3.mp4,16168,12072,A3UV55HC87DO9C,4
2,4.mp4,16302,4149,A3UV55HC87DO9C,4
4,5.mp4,16231,8608,A3UV55HC87DO9C,3
5,1.mp4,46256,5215,AEWGY34WUIA32,2
1,2.mp4,41127,5720,AEWGY34WUIA32,5
2,3.mp4,13482,4984,AEWGY34WUIA32,4
2,4.mp4,16042,6222,AEWGY34WUIA32,4
5,5.mp4,19960,6776,AEWGY34WUIA32,2
5,1.mp4,50103,14203,A3N7R7P9HP2YB6,2
1,2.mp4,16985,9248,A3N7R7P9HP2YB6,5
1,3.mp4,14930,5407,A3N7R7P9HP2YB6,5
1,4.mp4,14889,4747,A3N7R7P9HP2YB6,5
5,5.mp4,16105,7491,A3N7R7P9HP2YB6,2
5,1.mp4,44097,6755,A1L8RL58MYU4NC,2
1,2.mp4,19774,5573,A1L8RL58MYU4NC,5
2,3.mp4,29097,5094,A1L8RL58MYU4NC,4
4,4.mp4,18280,8561,A1L8RL58MYU4NC,4
5,5.mp4,17341,6049,A1L8RL58MYU4NC,2
5,1.mp4,119378,61506,A1HI9B1MMCMVAZ,2
1,2.mp4,20131,13497,A1HI9B1MMCMVAZ,5
3,3.mp4,22696,8660,A1HI9B1MMCMVAZ,4
4,4.mp4,23510,7901,A1HI9B1MMCMVAZ,4
4,5.mp4,25616,9793,A1HI9B1MMCMVAZ,4
5,1.mp4,40540,4195,AOAZMLP27GD81,2
1,2.mp4,14266,3678,AOAZMLP27GD81,5
2,3.mp4,14981,6865,AOAZMLP27GD81,4
1,4.mp4,16348,5103,AOAZMLP27GD81,4
4,5.mp4,14261,10112,AOAZMLP27GD81,3
5,1.mp4,117996,31733,A3QJ14Y7N8VQ42,2
1,2.mp4,24028,17855,A3QJ14Y7N8VQ42,5
2,3.mp4,44863,12812,A3QJ14Y7N8VQ42,5
3,4.mp4,38441,20499,A3QJ14Y7N8VQ42,5
5,5.mp4,23925,12014,A3QJ14Y7N8VQ42,2
5,1.mp4,45242,28838,A2ALWT2BUSXD83,2
1,2.mp4,15560,8520,A2ALWT2BUSXD83,5
3,3.mp4,14465,9658,A2ALWT2BUSXD83,4
3,4.mp4,15920,5023,A2ALWT2BUSXD83,4
4,5.mp4,13699,8211,A2ALWT2BUSXD83,4
5,1.mp4,914388,4481,AKSJ3C5O3V9RB,2
1,2.mp4,22274,3750,AKSJ3C5O3V9RB,5
2,3.mp4,164152,8564,AKSJ3C5O3V9RB,5
3,4.mp4,153436,26358,AKSJ3C5O3V9RB,4
5,5.mp4,26552,9201,AKSJ3C5O3V9RB,2
5,1.mp4,98674,36053,A2VC1UC5Q0E9PO,2
1,2.mp4,29534,18418,A2VC1UC5Q0E9PO,5
2,3.mp4,29910,24309,A2VC1UC5Q0E9PO,4
2,4.mp4,40602,10331,A2VC1UC5Q0E9PO,4
5,5.mp4,40202,11602,A2VC1UC5Q0E9PO,2
5,1.mp4,43805,5323,AORHXBTOCXFUK,2
1,2.mp4,24127,6148,AORHXBTOCXFUK,5
2,3.mp4,17373,6888,AORHXBTOCXFUK,5
2,4.mp4,17194,5501,AORHXBTOCXFUK,4
5,5.mp4,17537,7281,AORHXBTOCXFUK,2
5,1.mp4,38117,5231,AJDXSXAWDDAEO,2
1,2.mp4,17879,5311,AJDXSXAWDDAEO,5
2,3.mp4,17199,5484,AJDXSXAWDDAEO,4
2,4.mp4,16985,6017,AJDXSXAWDDAEO,4
5,5.mp4,22236,9986,AJDXSXAWDDAEO,2
5,1.mp4,65855,17089,A26ZENZ5G8AEGM,2
1,2.mp4,18844,10200,A26ZENZ5G8AEGM,5
4,3.mp4,17029,10608,A26ZENZ5G8AEGM,5
4,4.mp4,17875,6827,A26ZENZ5G8AEGM,5
5,5.mp4,16958,6730,A26ZENZ5G8AEGM,2
5,1.mp4,51902,26096,A2YAYHZYI7M3HD,2
1,2.mp4,15883,13453,A2YAYHZYI7M3HD,5
2,3.mp4,16301,7994,A2YAYHZYI7M3HD,5
2,4.mp4,19185,9324,A2YAYHZYI7M3HD,5
5,5.mp4,16605,7402,A2YAYHZYI7M3HD,2
5,1.mp4,53557,9616,A18G2CLYSTENK,2
1,2.mp4,14096,5700,A18G2CLYSTENK,5
4,3.mp4,14855,5873,A18G2CLYSTENK,4
4,4.mp4,14300,8836,A18G2CLYSTENK,4
5,5.mp4,16052,7092,A18G2CLYSTENK,2
5,1.mp4,109766,8874,ASWZO1WY1UHEP,2
1,2.mp4,20023,4835,ASWZO1WY1UHEP,5
2,3.mp4,36983,31110,ASWZO1WY1UHEP,5
2,4.mp4,22915,7809,ASWZO1WY1UHEP,4
5,5.mp4,18675,5328,ASWZO1WY1UHEP,2
5,1.mp4,58223,18240,A3RR85PK3AV9TU,2
1,2.mp4,16222,7772,A3RR85PK3AV9TU,5
2,3.mp4,16963,9057,A3RR85PK3AV9TU,4
2,4.mp4,57438,5579,A3RR85PK3AV9TU,4
4,5.mp4,27117,10338,A3RR85PK3AV9TU,3
5,1.mp4,92083,42194,A14W0AXTJ3R19V,2
1,2.mp4,20176,12441,A14W0AXTJ3R19V,5
3,3.mp4,24754,8574,A14W0AXTJ3R19V,4
3,4.mp4,18715,5966,A14W0AXTJ3R19V,3
5,5.mp4,15927,3710,A14W0AXTJ3R19V,2
